Token: CLOSE_BLOCK, Tipo: UNDEFINED, Línea: 55, Columna: 5
Token: RETURN, Tipo: UNDEFINED, Línea: 56, Columna: 5
Token: INT_LITERAL, Tipo: UNDEFINED, Línea: 56, Columna: 11
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 56, Columna: 13
Token: CLOSE_BLOCK, Tipo: UNDEFINED, Línea: 57, Columna: 1
Token: MAIN, Tipo: UNDEFINED, Línea: 59, Columna: 1
Token: OPEN_PAREN, Tipo: UNDEFINED, Línea: 59, Columna: 10
Token: CLOSE_PAREN, Tipo: UNDEFINED, Línea: 59, Columna: 21
Token: OPEN_BLOCK, Tipo: UNDEFINED, Línea: 59, Columna: 34
Token: STRING, Tipo: STRING, Línea: 65, Columna: 1
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 65, Columna: 8
Token: ASSIGN, Tipo: UNDEFINED, Línea: 65, Columna: 13
Token: STRING_LITERAL, Tipo: UNDEFINED, Línea: 65, Columna: 21
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 65, Columna: 34
Token: STRING, Tipo: STRING, Línea: 66, Columna: 1
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 66, Columna: 8
Token: ASSIGN, Tipo: UNDEFINED, Línea: 66, Columna: 13
Token: STRING_LITERAL, Tipo: UNDEFINED, Línea: 66, Columna: 21
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 66, Columna: 34
Token: STRING, Tipo: STRING, Línea: 67, Columna: 1
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 67, Columna: 8
Token: ASSIGN, Tipo: UNDEFINED, Línea: 67, Columna: 14
Token: STRING_LITERAL, Tipo: UNDEFINED, Línea: 67, Columna: 22
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 67, Columna: 38
Token: READ, Tipo: UNDEFINED, Línea: 69, Columna: 1
Token: OPEN_PAREN, Tipo: UNDEFINED, Línea: 69, Columna: 9
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 69, Columna: 20
Token: CLOSE_PAREN, Tipo: UNDEFINED, Línea: 69, Columna: 25
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 69, Columna: 38
Token: PRINT, Tipo: UNDEFINED, Línea: 71, Columna: 1
Token: OPEN_PAREN, Tipo: UNDEFINED, Línea: 71, Columna: 7
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 71, Columna: 18
Token: CLOSE_PAREN, Tipo: UNDEFINED, Línea: 71, Columna: 23
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 71, Columna: 36
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 73, Columna: 1
Token: OPEN_PAREN, Tipo: UNDEFINED, Línea: 73, Columna: 10
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 73, Columna: 21
Token: OPEN_PAREN, Tipo: UNDEFINED, Línea: 73, Columna: 30
Token: CLOSE_PAREN, Tipo: UNDEFINED, Línea: 73, Columna: 41
Token: COMMA, Tipo: UNDEFINED, Línea: 73, Columna: 54
Token: CHAR_LITERAL, Tipo: UNDEFINED, Línea: 73, Columna: 55
Token: CLOSE_PAREN, Tipo: UNDEFINED, Línea: 73, Columna: 59
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 73, Columna: 72
Token: RETURN, Tipo: UNDEFINED, Línea: 75, Columna: 1
Token: IDENTIFIER, Tipo: IDENTIFIER, Línea: 75, Columna: 7
Token: END_STATEMENT, Tipo: UNDEFINED, Línea: 75, Columna: 13
Token: CLOSE_BLOCK, Tipo: UNDEFINED, Línea: 77, Columna: 1
Nombre: _miChar_ Tipo variable: java_cup.runtime.Symbol
Nombre: _str1_ Tipo variable: java_cup.runtime.Symbol
Nombre: _fl1_ Tipo variable: java_cup.runtime.Symbol
Nombre: _lit_ Tipo variable: java_cup.runtime.Symbol
Nombre: _mibool_ Tipo variable: java_cup.runtime.Symbol
Variable:false
Tipo: BOOL
Tipo: BOOL
Nombre: _var2_ Tipo variable: java_cup.runtime.Symbol
Nombre: _var_ Tipo variable: java_cup.runtime.Symbol
Variable:0
Tipo: INTEGER
Tipo: INTEGER
Nombre: _ch_ Tipo variable: java_cup.runtime.Symbol
Nombre: _id_ Tipo variable: java_cup.runtime.Symbol
Nombre: _s1_ Tipo variable: java_cup.runtime.Symbol
Nombre: _b1_ Tipo variable: java_cup.runtime.Symbol
Nombre: _bl1_ Tipo variable: java_cup.runtime.Symbol
---------------------------------------------------------------------------------------------
